[542895.863981] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8620, bssidx: 0
[542958.862499] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8621, bssidx: 0
[543021.826153] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8622, bssidx: 0
[543084.853642] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8623, bssidx: 0
[543147.848979] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8624, bssidx: 0
[543210.796598] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8625, bssidx: 0
[543273.845126] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8626, bssidx: 0
[543336.802067] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8627, bssidx: 0
[543399.805559] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8628, bssidx: 0
[543462.834679] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8629, bssidx: 0
[543525.831372] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8630, bssidx: 0
[543588.826249] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8631, bssidx: 0
[543651.827037] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8632, bssidx: 0
[543714.821899] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8633, bssidx: 0
[543777.765454] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8634, bssidx: 0
[543840.766273] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8635, bssidx: 0
[543903.764037] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8636, bssidx: 0
[543966.819868] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8637, bssidx: 0
[544029.759143] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8638, bssidx: 0
[544092.783153] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8639, bssidx: 0
[544155.785868] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8640, bssidx: 0
[544218.775048] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8641, bssidx: 0
[544281.775199] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8642, bssidx: 0
[544344.799288] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8643, bssidx: 0
[544407.794893] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8644, bssidx: 0
[544470.801572] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8645, bssidx: 0
[544533.753124] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8646, bssidx: 0
[544596.787163] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8647, bssidx: 0
[544659.796802] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8648, bssidx: 0
[544722.737904] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8649, bssidx: 0
[544785.792955] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8650, bssidx: 0
[544848.786690] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8651, bssidx: 0
[544911.789432] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8652, bssidx: 0
[544974.748507] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8653, bssidx: 0
[545037.784215] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8654, bssidx: 0
[545100.730654] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8655, bssidx: 0
[545163.731137] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8656, bssidx: 0
[545226.774835] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8657, bssidx: 0
[545289.734070] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8658, bssidx: 0
[545352.772728] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8659, bssidx: 0
[545415.734271] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8660, bssidx: 0
[545478.758044] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8661, bssidx: 0
[545541.755703] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8662, bssidx: 0
[545604.705239] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8663, bssidx: 0
[545667.753025] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8664, bssidx: 0
[545730.726537] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8665, bssidx: 0
[545793.749301] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8666, bssidx: 0
[545856.745328] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8667, bssidx: 0
[545919.743266] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8668, bssidx: 0
[545982.742014] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8669, bssidx: 0
[546045.733336] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8670, bssidx: 0
[546108.680562] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8671, bssidx: 0
[546171.735672] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8672, bssidx: 0
[546234.717166] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8673, bssidx: 0
[546297.671205] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8674, bssidx: 0
[546360.687628] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8675, bssidx: 0
[546423.671365] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8676, bssidx: 0
[546486.726174] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8677, bssidx: 0
